Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
battery_pack_base_link,0.840460078869128,0.000748250275173445,-0.0747991952974527,0,0,0,590.168232442056,68.4216428304914,0.000761839613148307,6.32020891220886E-09,184.407037358386,1.60985543868867E-09,249.53932694368,0,0,0,0,0,0,package://battery_pack/meshes/battery_pack_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/battery_pack_base_link.STL,,电池包-2;平台-1;M6垫圈-1;M6垫圈-2;M6垫圈-3;M8垫圈-1;M8垫圈-2;M8垫圈-3;M10垫圈-1;M10垫圈-2;M10垫圈-3;机械臂基点-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
M6_1_Link,-1.5781E-08,1.7199E-07,-0.013589,0,0,0,0.0013212,1.3904E-07,-5.0602E-13,5.5231E-11,1.3904E-07,-1.7203E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_1_Link.STL,,螺栓-1,坐标系3,Axis_M6_1_Joint,M6_1_Joint,fixed,0.2215,0.404,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M6_2_Link,-1.6918E-07,-3.4772E-08,-0.013589,0,0,0,0.0013212,1.3904E-07,7.5348E-13,1.0967E-11,1.3904E-07,5.6799E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_2_Link.STL,,螺栓-2,坐标系4,Axis_M6_2_Joint,M6_2_Joint,fixed,0.2215,0.304,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M6_3_Link,-8.6028E-09,-1.725E-07,-0.013589,0,0,0,0.0013212,1.3904E-07,-1.573E-13,-5.2257E-11,1.3904E-07,2.4812E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_3_Link.STL,,螺栓-3,坐标系5,Axis_M6_3_Joint,M6_3_Joint,fixed,0.2215,0.204,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M8_1_Link,-2.382E-08,-1.0658E-07,-0.014181,0,0,0,0.0021494,2.2689E-07,3.8573E-12,-1.3221E-11,2.2689E-07,9.8346E-11,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_1_Link.STL,,M8螺栓-1,坐标系6,Axis_M8_1_Joint,M8_1_Joint,fixed,0.2215,0.104,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M8_2_Link,-1.0237E-07,3.8028E-08,-0.014181,0,0,0,0.0021494,2.2689E-07,-3.7109E-12,9.9231E-11,2.2689E-07,-2.1345E-13,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_2_Link.STL,,M8螺栓-2,坐标系7,Axis_M8_2_Joint,M8_2_Joint,fixed,0.2215,0.004,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M8_3_Link,-2.0193E-10,-1.0921E-07,-0.014181,0,0,0,0.0021494,2.2689E-07,3.5042E-12,-3.4181E-11,2.2689E-07,9.3158E-11,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_3_Link.STL,,M8螺栓-3,坐标系8,Axis_M8_3_Joint,M8_3_Joint,fixed,0.2215,-0.096,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M10_1_Link,1.2099E-08,1.6147E-07,-0.014551,0,0,0,0.003184,3.3964E-07,2.984E-12,-8.2695E-11,3.3963E-07,-1.2764E-10,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_1_Link.STL,,M10螺栓-1,坐标系9,Axis_M10_1_Joint,M10_1_Joint,fixed,0.2215,-0.196,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M10_2_Link,9.3207E-08,-1.3241E-07,-0.014551,0,0,0,0.003184,3.3963E-07,9.1296E-12,-1.7191E-11,3.3964E-07,1.5112E-10,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_2_Link.STL,,M10螺栓-2,坐标系10,Axis_M10_2_Joint,M10_2_Joint,fixed,0.2215,-0.296,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M10_3_Link,1.5901E-07,-3.0597E-08,-0.014551,0,0,0,0.003184,3.3963E-07,-9.123E-13,-1.1728E-10,3.3965E-07,9.6832E-11,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_3_Link.STL,,M10螺栓-3,坐标系11,Axis_M10_3_Joint,M10_3_Joint,fixed,0.2215,-0.396,0.051,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
